:START_ID,reward,reward_usd,:END_ID,:TYPE
678843,660597483,397336.1875,Poolin,REWARDED
678844,661195433,397695.8438,Poolin,REWARDED
678845,681922495,410162.75,Unknown,REWARDED
678846,633508612,381042.75,Unknown,REWARDED
678847,647143829,389244.0625,Poolin,REWARDED
678848,687566980,413557.7812,BTC.TOP,REWARDED
678849,658458162,396049.4062,AntPool,REWARDED
678850,651146996,391651.9062,Unknown,REWARDED
678851,658658133,396169.6875,Poolin,REWARDED
678852,646068565,388597.3125,Unknown,REWARDED
678853,634029875,381356.2812,AntPool,REWARDED
678854,634987212,381932.0938,Unknown,REWARDED
678855,639254237,384498.625,Unknown,REWARDED
678856,639453354,384618.4062,BTC.com,REWARDED
678857,697161244,419328.5312,F2Pool,REWARDED
678858,645814681,388444.625,BTC.com,REWARDED
678859,661889378,398113.2188,Unknown,REWARDED
678860,647891201,389693.5938,F2Pool,REWARDED
678861,638500105,384045.0312,AntPool,REWARDED
678862,660823378,397472.0312,F2Pool,REWARDED
678863,715677606,430465.7812,AntPool,REWARDED
678864,662375215,398405.4375,BTC.TOP,REWARDED
678865,641498679,385848.625,AntPool,REWARDED
678866,661556728,397913.1562,F2Pool,REWARDED
678867,750060645,451146.4688,ViaBTC,REWARDED
678868,698422685,420087.2812,Binance,REWARDED
678869,746002717,448705.7188,AntPool,REWARDED
678870,744291422,447676.4062,Huobi,REWARDED
678871,760662114,457523.0625,Unknown,REWARDED
678872,682724351,410645.0312,Poolin,REWARDED
678873,684821305,411906.3125,BTC.TOP,REWARDED
678874,702816293,422729.9375,Binance,REWARDED
678875,712723145,428688.7188,Poolin,REWARDED
678876,712807982,428739.75,F2Pool,REWARDED
678877,703483017,423130.9688,AntPool,REWARDED
678878,683554981,411144.6562,Unknown,REWARDED
678879,709396361,426687.7188,AntPool,REWARDED
678880,655795167,394447.6875,Poolin,REWARDED
678881,684545567,411740.4688,SlushPool,REWARDED
678882,640284206,385118.1562,ViaBTC,REWARDED
678883,752012973,452320.75,Poolin,REWARDED
678884,669106152,402453.9688,F2Pool,REWARDED
678885,695849821,418539.75,Poolin,REWARDED
678886,692563006,416562.7812,Unknown,REWARDED
678887,650466357,391242.5,Huobi,REWARDED
678888,663148102,398870.3125,F2Pool,REWARDED
678889,701035115,421658.5938,Binance,REWARDED
678890,661579436,397926.8125,SpiderPool,REWARDED
678891,679035613,408426.3438,Unknown,REWARDED
678892,659881322,396905.4062,Poolin,REWARDED
678893,645604523,388318.2188,Poolin,REWARDED
678894,653364324,392985.5625,Binance,REWARDED
678895,661050780,397608.8125,AntPool,REWARDED
678896,727008108,437280.8438,Poolin,REWARDED
678897,714331716,429656.25,Huobi,REWARDED
678898,681379200,409835.9688,Poolin,REWARDED
678899,735299156,442267.75,Unknown,REWARDED
678900,690049865,415051.1875,F2Pool,REWARDED
678901,719006307,432467.9062,Unknown,REWARDED
678902,694815784,417917.8125,BTC.com,REWARDED
678903,671295579,403770.875,F2Pool,REWARDED
678904,684866088,411933.25,Binance,REWARDED
